VENDOR,CLUSTER_AREA,ENODEBID,ECI,SITE_NAME,LATITUDE,LONGITUDE,AZIMUTH,HEIGHT,ANTENNA,LOCAL_CELLID,PCI,RSI,M_TILT,CELLNAME,ULEARFCN,DLEARFCN,UL BW,20MHz,TECH,CELLRADIUS,PMAX,RSPOWER (dBm),TXRX_MODE,TAC,CARRIER,ACTSTATUS,BLKSTATUS
VEND-1,CLUST-1,2309,591215,ABWCA,-36.888865,174.817979,90,15,0700_Kathrein_80010764_E06,111,57,408,0,ABWCA1_J,27310,9310,20MHz,20MHz,FDD,10000,47.8,20,2T2R,18142,L700,ACTIVE,UNBLOCKED
VEND-1,CLUST-1,2309,591225,ABWCA,-36.888865,174.817979,210,15,0700_Kathrein_80010764_E04,121,58,400,0,ABWCA2_J,27310,9310,20MHz,20MHz,FDD,10000,47.8,20,2T2R,18142,L700,ACTIVE,UNBLOCKED
VEND-1,CLUST-1,2309,591235,ABWCA,-36.888865,174.817979,330,15,0700_Kathrein_80010764_E05,131,59,392,0,ABWCA3_J,27310,9310,20MHz,20MHz,FDD,10000,47.8,20,2T2R,18142,L700,ACTIVE,UNBLOCKED
VEND-1,CLUST-1,2309,591217,ABWCA,-36.888865,174.817979,90,15,1800_Kathrein_80010764v01_E04,113,57,408,0,ABWCA1_L,19600,1600,20MHz,20MHz,FDD,10000,46,18.2,2T2R,18142,L1800,ACTIVE,UNBLOCKED
VEND-1,CLUST-1,2309,591227,ABWCA,-36.888865,174.817979,210,15,1800_Kathrein_80010764v01_E03,123,58,400,0,ABWCA2_L,19600,1600,20MHz,20MHz,FDD,10000,46,18.2,2T2R,18142,L1800,ACTIVE,UNBLOCKED
VEND-1,CLUST-1,2309,591237,ABWCA,-36.888865,174.817979,330,15,1800_Kathrein_80010764v01_E04,133,59,392,0,ABWCA3_L,19600,1600,20MHz,20MHz,FDD,10000,46,18.2,2T2R,18142,L1800,ACTIVE,UNBLOCKED
VEND-2,CLUST-1,618224,158265458,ABWCF,-36.888865,174.817979,90,15,2100_Kathrein_80010764V01_E04,114,57,408,0,ABWCF1_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,2T2R,18142,L2100,ACTIVE,UNBLOCKED
VEND-2,CLUST-1,618224,158265468,ABWCF,-36.888865,174.817979,210,15,2100_Kathrein_80010764V01_E03,124,58,400,0,ABWCF2_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,2T2R,18142,L2100,ACTIVE,UNBLOCKED
VEND-2,CLUST-1,618224,158265478,ABWCF,-36.888865,174.817979,330,15,2100_Kathrein_80010764V01_E04,134,59,392,0,ABWCF3_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,2T2R,18142,L2100,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600010,153602675,SABDF,-43.522469,172.64108,90,18.8,2600_Kathrein_80010866_E03,115,165,227,0,SABDF1_N,21200,3200,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28141,L2600,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600010,153602685,SABDF,-43.522469,172.64108,210,18.8,2600_Kathrein_80010866_E04,125,166,235,0,SABDF2_N,21200,3200,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28141,L2600,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600010,153602674,SABDF,-43.522469,172.64108,90,18.8,2100_Kathrein_80010866_E03,114,165,384,0,SABDF1_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,4T4R,28141,L2100,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600010,153602695,SABDF,-43.522469,172.64108,330,18.8,2600_Kathrein_80010866_E05,135,167,616,0,SABDF3_N,21200,3200,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28141,L2600,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600010,153602684,SABDF,-43.522469,172.64108,210,18.8,2100_Kathrein_80010866_E04,124,166,496,0,SABDF2_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,4T4R,28141,L2100,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600010,153602673,SABDF,-43.522469,172.64108,90,18.8,1800_Kathrein_80010652_E03,113,165,384,0,SABDF1_L,19600,1600,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28141,L1800,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600010,153602683,SABDF,-43.522469,172.64108,210,18.8,1800_Kathrein_80010652_E04,123,166,496,0,SABDF2_L,19600,1600,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28141,L1800,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600010,153602694,SABDF,-43.522469,172.64108,330,18.8,2100_Kathrein_80010866_E05,134,167,320,0,SABDF3_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,4T4R,28141,L2100,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600010,153602671,SABDF,-43.522469,172.64108,90,18.8,0700_Kathrein_80010866_E07,111,165,476,0,SABDF1_J,27310,9310,20MHz,20MHz,FDD,12200,47.8,20,2T2R,28141,L700,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600010,153602681,SABDF,-43.522469,172.64108,210,18.8,0700_Kathrein_80010866_E07,121,166,665,0,SABDF2_J,27310,9310,20MHz,20MHz,FDD,12200,47.8,20,2T2R,28141,L700,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600010,153602691,SABDF,-43.522469,172.64108,330,18.8,0700_Kathrein_80010866_E07,131,167,164,0,SABDF3_J,27310,9310,20MHz,20MHz,FDD,12200,47.8,20,2T2R,28141,L700,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600012,153603186,SADDF,-43.541317,172.613575,90,18.8,2100_Kathrein_80010866_E03,114,273,784,0,SADDF1_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,4T4R,28161,L2100,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600010,153602693,SABDF,-43.522469,172.64108,330,18.8,1800_Kathrein_80010652_E05,133,167,320,0,SABDF3_L,19600,1600,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28141,L1800,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600012,153603187,SADDF,-43.541317,172.613575,90,18.8,2600_Kathrein_80010866_E03,115,273,784,0,SADDF1_N,21200,3200,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28161,L2600,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600012,153603197,SADDF,-43.541317,172.613575,210,18.8,2600_Kathrein_80010866_E05,125,274,272,0,SADDF2_N,21200,3200,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28161,L2600,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600012,153603196,SADDF,-43.541317,172.613575,210,18.8,2100_Kathrein_80010866_E05,124,274,272,0,SADDF2_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,4T4R,28161,L2100,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600012,153603207,SADDF,-43.541317,172.613575,330,18.8,2600_Kathrein_80010866_E05,135,275,264,0,SADDF3_N,21200,3200,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28161,L2600,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600012,153603185,SADDF,-43.541317,172.613575,90,18.8,1800_Kathrein_80010866_E03,113,273,784,0,SADDF1_L,19600,1600,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28161,L1800,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600012,153603206,SADDF,-43.541317,172.613575,330,18.8,2100_Kathrein_80010866_E05,134,275,264,0,SADDF3_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,4T4R,28161,L2100,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600012,153603195,SADDF,-43.541317,172.613575,210,18.8,1800_Kathrein_80010866_E05,123,274,272,0,SADDF2_L,19600,1600,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28161,L1800,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600012,153603183,SADDF,-43.541317,172.613575,90,18.8,0700_Kathrein_80010866_E06,111,273,44,0,SADDF1_J,27310,9310,20MHz,20MHz,FDD,15920,47.8,20,2T2R,28161,L700,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600012,153603193,SADDF,-43.541317,172.613575,210,18.8,0700_Kathrein_80010866_E07,121,274,593,0,SADDF2_J,27310,9310,20MHz,20MHz,FDD,15920,47.8,20,2T2R,28161,L700,ACTIVE,UNBLOCKED
VEND-2,CLUST-2,618165,158250354,ANZLF,-37.006077,174.790241,120,16.5,2100_Huawei_APE4516R1v06_E06,114,195,464,0,ANZLF1_M,18275,275,15MHz,15MHz,FDD,22780,46,22.4,4T4R,18131,L2100,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600012,153603203,SADDF,-43.541317,172.613575,330,18.8,0700_Kathrein_80010866_E07,131,275,116,0,SADDF3_J,27310,9310,20MHz,20MHz,FDD,15920,47.8,20,2T2R,28161,L700,ACTIVE,UNBLOCKED
SAMSUNG,CH Corridor,600012,153603205,SADDF,-43.541317,172.613575,330,18.8,1800_Kathrein_80010866_E05,133,275,264,0,SADDF3_L,19600,1600,20MHz,20MHz,FDD,12200,46,18.2,4T4R,28161,L1800,ACTIVE,UNBLOCKED
CLUST-1,WN Corridor,2112,540785,WADLA,-41.304846,174.778491,10,25,1800_Kathrein_80010622_E06,113,309,608,0,WADLA1_L,19600,1600,20MHz,20MHz,FDD,10000,46,18.2,2T2R,38111,L1800,ACTIVE,UNBLOCKED
CLUST-1,WN Corridor,2112,540795,WADLA,-41.304846,174.778491,160,25,1800_Kathrein_80010622_E01,123,310,144,0,WADLA2_L,19600,1600,20MHz,20MHz,FDD,10000,46,18.2,2T2R,38111,L1800,ACTIVE,UNBLOCKED
CLUST-1,WN Corridor,2112,540783,WADLA,-41.304846,174.778491,10,25,0700_Kathrein_80010865_E09,111,309,608,0,WADLA1_J,27310,9310,20MHz,20MHz,FDD,10000,47.8,20,2T2R,38111,L700,ACTIVE,UNBLOCKED
CLUST-1,WN Corridor,2112,540793,WADLA,-41.304846,174.778491,160,25,0700_Kathrein_80010865_E02,121,310,144,0,WADLA2_J,27310,9310,20MHz,20MHz,FDD,10000,47.8,20,2T2R,38111,L700,ACTIVE,UNBLOCKED
CLUST-1,WN Corridor,2112,540803,WADLA,-41.304846,174.778491,280,25,0700_Kathrein_80010864_E04,131,311,600,0,WADLA3_J,27310,9310,20MHz,20MHz,FDD,10000,47.8,20,2T2R,38111,L700,ACTIVE,UNBLOCKED
CLUST-1,WN Corridor,2112,540805,WADLA,-41.304846,174.778491,280,25,1800_Kathrein_80010622_E01,133,311,600,0,WADLA3_L,19600,1600,20MHz,20MHz,FDD,10000,46,18.2,2T2R,38111,L1800,ACTIVE,UNBLOCKED
CLUST-1,Northland,2397,613745,NAHPA,-35.175498,173.147156,10,10.5,1800_Commscope_RVV33BR3_E02,113,42,450,0,NAHPA1_L,19600,1600,20MHz,20MHz,FDD,30000,46,18.2,2T2R,18161,L1800,ACTIVE,UNBLOCKED
CLUST-1,Northland,2397,613743,NAHPA,-35.175498,173.147156,10,10.5,0700_Commscope_RVV33BR3_E03,111,42,450,0,NAHPA1_J,27310,9310,20MHz,20MHz,FDD,45000,46,17.9,2T2R,18161,L700,ACTIVE,UNBLOCKED
CLUST-1,Northland,2397,613753,NAHPA,-35.175498,173.147156,70,10.5,0700_Commscope_RVV33BR3_E02,121,43,64,0,NAHPA2_J,27310,9310,20MHz,20MHz,FDD,37000,46,17.9,2T2R,18161,L700,ACTIVE,UNBLOCKED
CLUST-1,Northland,2397,613763,NAHPA,-35.175498,173.147156,140,10.5,0700_Kathrein_80010866_E02,131,44,227,0,NAHPA3_J,27310,9310,20MHz,20MHz,FDD,37000,46,17.9,2T2R,18161,L700,ACTIVE,UNBLOCKED
CLUST-1,Northland,2397,613773,NAHPA,-35.175498,173.147156,260,10.5,0700_Kathrein_80010866_E02,141,45,205,0,NAHPA4_J,27310,9310,20MHz,20MHz,FDD,37000,46,17.9,2T2R,18161,L700,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825458,CAHUL,-39.485312,176.890844,70,20,2100_Huawei_APE4516R1v06_E02,114,18,656,0,CAHUJ1_M,18275,275,15MHz,15MHz,FDD,38800,46,19.5,4T4R,48201,L2100,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825461,CAHUL,-39.485312,176.890844,70,20,2300_Huawei_APE4516R1v06_E02,117,18,643,0,CAHUJ1_Q,39250,39250,20MHz,20MHz,TDD,15920,43,15.2,4T4R,48201,L2300 - Q,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825462,CAHUL,-39.485312,176.890844,70,20,2300_Huawei_APE4516R1v06_E02,118,18,643,0,CAHUJ1_R,39052,39052,20MHz,20MHz,TDD,15920,43,15.2,4T4R,48201,L2300 - R,ACTIVE,UNBLOCKED
CLUST-1,Northland,2397,613755,NAHPA,-35.175498,173.147156,70,10.5,1800_Commscope_RVV33BR3_E03,123,43,64,0,NAHPA2_L,19600,1600,20MHz,20MHz,FDD,22000,46,18.2,2T2R,18161,L1800,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825468,CAHUL,-39.485312,176.890844,190,20,2100_Huawei_APE4516R1v06_E02,124,19,616,0,CAHUJ2_M,18275,275,15MHz,15MHz,FDD,12200,46,19.5,4T4R,48201,L2100,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825471,CAHUL,-39.485312,176.890844,190,20,2300_Huawei_APE4516R1v06_E02,127,19,820,0,CAHUJ2_Q,39250,39250,20MHz,20MHz,TDD,15920,43,15.2,4T4R,48201,L2300 - Q,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825472,CAHUL,-39.485312,176.890844,190,20,2300_Huawei_APE4516R1v06_E02,128,19,820,0,CAHUJ2_R,39052,39052,20MHz,20MHz,TDD,15920,43,15.2,4T4R,48201,L2300 - R,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825455,CAHUL,-39.485312,176.890844,70,20,0700_Huawei_APE4516R1v06_E02,111,18,301,0,CAHUJ1_J,27310,9310,20MHz,20MHz,FDD,38800,47,19.2,2T2R,48201,L700,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825478,CAHUL,-39.485312,176.890844,320,20,2100_Huawei_APE4516R1v06_E02,134,20,280,0,CAHUJ3_M,18275,275,15MHz,15MHz,FDD,12200,46,19.5,4T4R,48201,L2100,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825481,CAHUL,-39.485312,176.890844,320,20,2300_Huawei_APE4516R1v06_E05,137,20,674,0,CAHUJ3_Q,39250,39250,20MHz,20MHz,TDD,15920,43,15.2,4T4R,48201,L2300 - Q,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825482,CAHUL,-39.485312,176.890844,320,20,2300_Huawei_APE4516R1v06_E05,138,20,674,0,CAHUJ3_R,39052,39052,20MHz,20MHz,TDD,15920,43,15.2,4T4R,48201,L2300 - R,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825465,CAHUL,-39.485312,176.890844,190,20,0700_Huawei_APE4516R1v06_E02,121,19,291,0,CAHUJ2_J,27310,9310,20MHz,20MHz,FDD,12200,47,19.2,2T2R,48201,L700,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825475,CAHUL,-39.485312,176.890844,320,20,0700_Huawei_APE4516R1v06_E03,131,20,436,0,CAHUJ3_J,27310,9310,20MHz,20MHz,FDD,12200,47,19.2,2T2R,48201,L700,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825457,CAHUL,-39.485312,176.890844,70,20,1800_Huawei_APE4516R1v06_E02,113,18,656,0,CAHUJ1_L,19600,1600,20MHz,20MHz,FDD,38800,46,18.2,4T4R,48201,L1800,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825467,CAHUL,-39.485312,176.890844,190,20,1800_Huawei_APE4516R1v06_E02,123,19,616,0,CAHUJ2_L,19600,1600,20MHz,20MHz,FDD,12200,46,18.2,4T4R,48201,L1800,ACTIVE,UNBLOCKED
NOKIA,Napier,300099,76825477,CAHUL,-39.485312,176.890844,320,20,1800_Huawei_APE4516R1v06_E02,133,20,432,0,CAHUJ3_L,19600,1600,20MHz,20MHz,FDD,12200,46,18.2,4T4R,48201,L1800,ACTIVE,UNBLOCKED
CLUST-1,Northland,1401,358769,NAHAA,-36.463999,174.555164,60,24,1800_CLUST-1_ASI4518R85v06_E03,113,57,806,0,NAHAA1_L,19600,1600,20MHz,20MHz,FDD,37000,,18.2,4T4R,18161,L1800,ACTIVE,UNBLOCKED
CLUST-1,Northland,1401,358767,NAHAA,-36.463999,174.555164,60,24,0700_CLUST-1_ASI4518R85v06_E03,111,57,806,0,NAHAA1_J,27310,9310,20MHz,20MHz,FDD,45000,46,18.2,4T4R,18161,L700,ACTIVE,UNBLOCKED
CLUST-1,Northland,1401,358777,NAHAA,-36.463999,174.555164,180,24,0700_CLUST-1_ASI4518R85v06_E02,121,58,181,0,NAHAA2_J,27310,9310,20MHz,20MHz,FDD,45000,46,18.2,4T4R,18161,L700,ACTIVE,UNBLOCKED
VEND-2,CLUST-2,618165,158250364,ANZLF,-37.006077,174.790241,190,16.5,2100_Huawei_APE4516R1v06_E06,124,196,320,0,ANZLF2_M,18275,275,15MHz,15MHz,FDD,22780,46,22.4,4T4R,18131,L2100,ACTIVE,UNBLOCKED
VEND-1,CLUST-2,2075,531311,ANZLA,-37.006077,174.790241,120,16.5,0700_CLUST-1_APE4516R1v06_E06,111,195,464,0,ANZLA1_J,27310,9310,20MHz,20MHz,FDD,37000,45.7,17.9,2T2R,18131,L700,ACTIVE,UNBLOCKED
CLUST-1,Northland,1401,358787,NAHAA,-36.463999,174.555164,300,24,0700_CLUST-1_ASI4518R85v06_E06,131,59,512,0,NAHAA3_J,27310,9310,20MHz,20MHz,FDD,37000,46,18.2,4T4R,18161,L700,ACTIVE,UNBLOCKED
CLUST-1,Northland,1401,358779,NAHAA,-36.463999,174.555164,180,24,1800_CLUST-1_ASI4518R85v06_E04,123,58,181,0,NAHAA2_L,19600,1600,20MHz,20MHz,FDD,37000,,18.2,4T4R,18161,L1800,ACTIVE,UNBLOCKED
VEND-1,CLUST-2,2075,531321,ANZLA,-37.006077,174.790241,190,16.5,0700_CLUST-1_APE4516R1v06_E05,121,196,320,0,ANZLA2_J,27310,9310,20MHz,20MHz,FDD,30000,45.7,17.9,2T2R,18131,L700,ACTIVE,UNBLOCKED
VEND-1,CLUST-2,2075,531313,ANZLA,-37.006077,174.790241,120,16,1800_CLUST-1_APE4516R1v06_E05,113,195,464,0,ANZLA1_L,19600,1600,20MHz,20MHz,FDD,22000,46,18.2,4T4R,18131,L1800,ACTIVE,UNBLOCKED
VEND-1,CLUST-2,2075,531323,ANZLA,-37.006077,174.790241,190,16,1800_CLUST-1_APE4516R1v06_E05,123,196,320,0,ANZLA2_L,19600,1600,20MHz,20MHz,FDD,22000,46,18.2,4T4R,18131,L1800,ACTIVE,UNBLOCKED
VEND-2,CLUST-2,618137,158243186,AKABF,-36.999174,174.826167,40,14,2100_Huawei_AQU4518R17_E05,114,201,336,0,AKABF1_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,2T2R,18131,L2100,ACTIVE,UNBLOCKED
VEND-2,CLUST-2,618137,158243196,AKABF,-36.999174,174.826167,160,14,2100_Huawei_AQU4518R17_E06,124,202,816,0,AKABF2_M,18275,275,15MHz,15MHz,FDD,22780,46,19.4,2T2R,18131,L2100,ACTIVE,UNBLOCKED
VEND-2,CLUST-2,618137,158243206,AKABF,-36.999174,174.826167,280,14,2100_Huawei_AQU4518R17_E06,134,203,632,0,AKABF3_M,18275,275,15MHz,15MHz,FDD,22780,46,19.4,2T2R,18131,L2100,ACTIVE,UNBLOCKED
VEND-1,CLUST-2,2342,599663,AKABA,-36.999174,174.826167,40,14,0700_CLUST-1_AQU4518R17_E08,111,201,24,0,AKABA1_J,27310,9310,20MHz,20MHz,FDD,10000,47.8,20,2T2R,18131,L700,ACTIVE,UNBLOCKED
VEND-1,CLUST-2,2342,599673,AKABA,-36.999174,174.826167,160,14,0700_CLUST-1_AQU4518R17_E08,121,202,178,0,AKABA2_J,27310,9310,20MHz,20MHz,FDD,22000,47.8,20,2T2R,18131,L700,ACTIVE,UNBLOCKED
VEND-1,CLUST-2,2342,599683,AKABA,-36.999174,174.826167,280,14,0700_CLUST-1_AQU4518R17_E08,131,203,814,0,AKABA3_J,27310,9310,20MHz,20MHz,FDD,22000,47.8,20,2T2R,18131,L700,ACTIVE,UNBLOCKED
VEND-1,CLUST-2,2342,599665,AKABA,-36.999174,174.826167,40,14,1800_CLUST-1_AQU4518R17_E05,113,201,336,0,AKABA1_L,19600,1600,20MHz,20MHz,FDD,10000,46,18.2,2T2R,18131,L1800,ACTIVE,UNBLOCKED
VEND-1,CLUST-2,2342,599675,AKABA,-36.999174,174.826167,160,14,1800_CLUST-1_AQU4518R17_E05,123,202,816,0,AKABA2_L,19600,1600,20MHz,20MHz,FDD,22000,46,18.2,2T2R,18131,L1800,ACTIVE,UNBLOCKED
VEND-1,CLUST-2,2342,599685,AKABA,-36.999174,174.826167,280,14,1800_CLUST-1_AQU4518R17_E05,133,203,632,0,AKABA3_L,19600,1600,20MHz,20MHz,FDD,22000,46,18.2,2T2R,18131,L1800,ACTIVE,UNBLOCKED
VEND-2,CLUST-3,618387,158307186,AABEF,-36.743582,174.693382,90,18,2100_Kathrein_80010891_E02,114,108,600,0,AABEF1_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,2T2R,18121,L2100,ACTIVE,UNBLOCKED
NOKIA,Waikato,300505,76929391,MAIRJ,-37.829152,175.357914,60,19,0700_Kathrein_80010865_E02,111,399,579,0,MAIRJ1_J,27310,9310,20MHz,20MHz,FDD,15920,46,18.2,4T4R,48111,L700,ACTIVE,UNBLOCKED
NOKIA,Waikato,300505,76929401,MAIRJ,-37.829152,175.357914,210,19,0700_Kathrein_80010865_E02,121,400,133,0,MAIRJ2_J,27310,9310,20MHz,20MHz,FDD,15920,46,18.2,4T4R,48111,L700,ACTIVE,UNBLOCKED
NOKIA,Waikato,300505,76929411,MAIRJ,-37.829152,175.357914,310,19,0700_Kathrein_80010865_E03,131,401,589,0,MAIRJ3_J,27310,9310,20MHz,20MHz,FDD,15920,47.79999924,20,4T4R,48111,L700,ACTIVE,UNBLOCKED
CLUST-1,Canterbury South 1,1230,315007,SAKAA,-43.794173,172.97726,210,19.2,2300_Kathrein_80010678_E06,127,40,511,0,SAKAA2_Q,39250,39250,20MHz,20MHz,TDD,14500,43,15.2,4T4R,28141,L2300 - Q,ACTIVE,UNBLOCKED
CLUST-1,Canterbury South 1,1230,315008,SAKAA,-43.794173,172.97726,210,19.2,2300_Kathrein_80010678_E06,128,40,511,0,SAKAA2_R,39052,39052,20MHz,20MHz,TDD,14500,43,15.2,4T4R,28141,L2300 - R,ACTIVE,UNBLOCKED
NOKIA,Waikato,300505,76929393,MAIRJ,-37.829152,175.357914,60,19,1800_Kathrein_80010865_E025,113,399,620,0,MAIRJ1_L,19600,1600,20MHz,20MHz,FDD,9770,47.79999924,20,4T4R,48111,L1800,ACTIVE,UNBLOCKED
NOKIA,Waikato,300505,76929403,MAIRJ,-37.829152,175.357914,210,19,1800_Kathrein_80010865_E025,123,400,216,0,MAIRJ2_L,19600,1600,20MHz,20MHz,FDD,9770,47.79999924,20,4T4R,48111,L1800,ACTIVE,UNBLOCKED
NOKIA,Waikato,300505,76929413,MAIRJ,-37.829152,175.357914,310,19,1800_Kathrein_80010865_E03,133,401,688,0,MAIRJ3_L,19600,1600,20MHz,20MHz,FDD,9770,47.79999924,20,4T4R,48111,L1800,ACTIVE,UNBLOCKED
CLUST-1,Canterbury South 1,1230,315005,SAKAA,-43.794173,172.97726,210,19.2,2600_Kathrein_80010678_E06,125,40,680,0,SAKAA2_N,21200,3200,20MHz,20MHz,FDD,15000,46,18.2,4T4R,28141,L2600,ACTIVE,UNBLOCKED
CLUST-1,Canterbury South 1,1230,314993,SAKAA,-43.794173,172.97726,90,19,1800_Kathrein_80010865_E02,113,39,154,0,SAKAA1_L,19600,1600,20MHz,20MHz,FDD,15000,46,18.2,4T4R,28141,L1800,ACTIVE,UNBLOCKED
CLUST-1,Canterbury South 1,1230,315003,SAKAA,-43.794173,172.97726,210,19,1800_Kathrein_80010865_E02,123,40,130,0,SAKAA2_L,19600,1600,20MHz,20MHz,FDD,15000,46,18.2,4T4R,28141,L1800,ACTIVE,UNBLOCKED
CLUST-1,Canterbury South 1,1230,314991,SAKAA,-43.794173,172.97726,90,19,0700_Kathrein_80010865_E02,111,39,616,0,SAKAA1_J,27310,9310,20MHz,20MHz,FDD,15000,48.8,19.7,2T2R,28141,L700,ACTIVE,UNBLOCKED
CLUST-1,Canterbury South 1,1230,315001,SAKAA,-43.794173,172.97726,210,19,0700_Kathrein_80010865_E05,121,40,536,0,SAKAA2_J,27310,9310,20MHz,20MHz,FDD,15000,48.8,19.7,2T2R,28141,L700,ACTIVE,UNBLOCKED
CLUST-1,Canterbury South 1,1230,315011,SAKAA,-43.794173,172.97726,330,19,0700_Kathrein_80010865_E05,131,41,408,0,SAKAA3_J,27310,9310,20MHz,20MHz,FDD,15000,48.8,19.7,2T2R,28141,L700,ACTIVE,UNBLOCKED
CLUST-1,Canterbury South 1,1230,315013,SAKAA,-43.794173,172.97726,330,19,1800_Kathrein_80010865_E02,133,41,301,0,SAKAA3_L,19600,1600,20MHz,20MHz,FDD,15000,46,18.2,4T4R,28141,L1800,ACTIVE,UNBLOCKED
NOKIA,Hastings,300115,76829555,CAKNJ,-39.656741,176.835188,75,14,2600_Huawei_APE4516R1v06_E02,115,27,91,0,CAKNJ1_N,21200,3200,20MHz,20MHz,FDD,15920,46,18.2,4T4R,48201,L2600,ACTIVE,UNBLOCKED
NOKIA,Hastings,300115,76829565,CAKNJ,-39.656741,176.835188,210,14,2600_Huawei_APE4516R1v06_E02,125,28,73,0,CAKNJ2_N,21200,3200,20MHz,20MHz,FDD,22780,46,18.2,4T4R,48201,L2600,ACTIVE,UNBLOCKED
NOKIA,Hastings,300115,76829575,CAKNJ,-39.656741,176.835188,330,14,2600_Huawei_APE4516R1v06_E02,135,29,62,0,CAKNJ3_N,21200,3200,20MHz,20MHz,FDD,15920,46,18.2,4T4R,48201,L2600,ACTIVE,UNBLOCKED
NOKIA,Hastings,300115,76829551,CAKNJ,-39.656741,176.835188,75,14,0700_Huawei_APE4516R1v06_E05,111,27,123,0,CAKNJ1_J,27310,9310,20MHz,20MHz,FDD,15920,47.79999924,20,2T2R,48201,L700,ACTIVE,UNBLOCKED
NOKIA,Hastings,300115,76829561,CAKNJ,-39.656741,176.835188,210,14,0700_Huawei_APE4516R1v06_E02,121,28,142,0,CAKNJ2_J,27310,9310,20MHz,20MHz,FDD,22780,47.79999924,20,2T2R,48201,L700,ACTIVE,UNBLOCKED
NOKIA,Hastings,300115,76829571,CAKNJ,-39.656741,176.835188,330,14,0700_Huawei_APE4516R1v06_E05,131,29,113,0,CAKNJ3_J,27310,9310,20MHz,20MHz,FDD,15920,47.79999924,20,2T2R,48201,L700,ACTIVE,UNBLOCKED
VEND-2,CLUST-3,618387,158307196,AABEF,-36.743582,174.693382,210,18,2100_Kathrein_80010891_E02,124,109,40,0,AABEF2_M,18275,275,15MHz,15MHz,FDD,12200,46,19.4,2T2R,18121,L2100,ACTIVE,UNBLOCKED
